Player Name,Age,Team,ASR,Nationality,Transfer History Count,MarketValue,missing_market_value,Age_norm,MarketValue_norm,Transfers_norm,Nationality_norm,ClubTier,ClubTier_norm,InputScore,SustainabilityScore
Nordin Jackers,27,Club Brugge KV,7.15,BEL,5,930000,False,0.675,0.004189189189189189,0.3333333333333333,0.5,3,1.0,2.513,2.845
Nuno Félix,21,Benfica B,6.78,POR,0,1600000,False,0.525,0.007207207207207207,0.0,1.0,3,1.0,2.532,2.678
Nuno Mendes,22,Paris Saint-Germain,7.35,POR,3,53000000,False,0.55,0.23873873873873874,0.2,1.0,1,0.3333333333333333,2.322,3.165
Nuno Santos,30,Sporting,7.26,POR,5,9300000,False,0.75,0.041891891891891894,0.3333333333333333,1.0,3,1.0,3.125,2.323
Odilon Kossounou,24,Atalanta,6.82,CIV,5,26000000,False,0.6,0.11711711711711711,0.3333333333333333,1.0,2,0.6666666666666666,2.717,2.51
Oliver Lukić,18,FC Liefering,7.05,CRO,3,835000,False,0.45,0.0037612612612612614,0.2,1.0,3,1.0,2.654,2.656
Olivier Boscagli,27,PSV Eindhoven,7.43,FRA,4,21000000,False,0.675,0.0945945945945946,0.26666666666666666,0.5,2,0.6666666666666666,2.203,3.373
Omar Marmoush,26,Manchester City,7.6,EGY,5,82000000,False,0.65,0.36936936936936937,0.3333333333333333,1.0,1,0.3333333333333333,2.686,2.829
Omri Glazer,29,FK Crvena zvezda,6.66,ISR,5,4600000,False,0.725,0.02072072072072072,0.3333333333333333,1.0,3,1.0,3.079,2.163
Orkun Kökçü,24,Benfica,7.42,TUR,2,27000000,False,0.6,0.12162162162162163,0.13333333333333333,0.5,2,0.6666666666666666,2.022,3.67
Oscar Bobb,21,Manchester City,6.87,NOR,1,24000000,False,0.525,0.10810810810810811,0.06666666666666667,0.5,1,0.3333333333333333,1.533,4.481
Oscar Gloukh,21,Red Bull Salzburg,7.37,ISR,2,23000000,False,0.525,0.1036036036036036,0.13333333333333333,1.0,2,0.6666666666666666,2.429,3.034
Otar Kiteishvili,29,SK Sturm Graz,7.31,GEO,2,4600000,False,0.725,0.02072072072072072,0.13333333333333333,0.5,3,1.0,2.379,3.073
Ousmane Dembélé,28,Paris Saint-Germain,7.76,FRA,4,73000000,False,0.7,0.32882882882882886,0.26666666666666666,0.5,1,0.3333333333333333,2.129,3.645
Ousmane Diomande,21,Sporting,6.96,CIV,4,42000000,False,0.525,0.1891891891891892,0.26666666666666666,1.0,3,1.0,2.981,2.335
